Timestamp(ms),GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ
65,0.01,0.00,0.00,0.21,0.06,9.95
70,0.01,0.00,0.00,0.21,0.05,9.93
75,0.01,0.00,0.00,0.16,0.09,9.94
80,0.02,0.00,0.00,0.19,0.07,9.95
85,0.01,0.00,0.00,0.18,0.06,9.95
90,0.02,0.00,0.00,0.20,0.09,9.95
95,0.02,0.00,0.00,0.22,0.08,9.94
100,0.02,0.00,0.00,0.20,0.11,9.96
105,0.01,0.00,0.00,0.22,0.11,9.97
110,0.01,0.00,0.00,0.23,0.10,9.96
115,0.01,0.00,0.00,0.22,0.13,9.97
120,0.01,0.00,0.00,0.26,0.10,9.97
125,0.01,0.00,0.00,0.24,0.12,9.97
130,0.01,0.00,0.00,0.27,0.11,9.96
135,0.01,0.00,0.00,0.28,0.09,9.96
140,0.01,0.00,0.00,0.24,0.13,9.96
145,0.01,0.00,0.00,0.29,0.09,9.96
151,0.01,0.00,0.00,0.26,0.09,9.95
156,0.01,0.00,0.00,0.27,0.11,9.95
161,0.01,0.00,0.00,0.29,0.08,9.94
166,0.01,0.00,0.00,0.27,0.09,9.94
171,0.01,0.00,0.01,0.29,0.11,9.94
176,0.01,0.00,0.00,0.26,0.08,9.94
181,0.01,0.00,0.00,0.25,0.10,9.95
186,0.01,0.00,0.01,0.27,0.09,9.96
191,0.01,0.00,0.01,0.22,0.11,9.93
196,0.01,0.00,0.01,0.25,0.10,9.94
201,0.01,0.00,0.01,0.25,0.09,9.95
206,0.01,0.00,0.01,0.21,0.12,9.96
211,0.01,0.00,0.01,0.24,0.10,9.95
216,0.01,0.00,0.01,0.20,0.11,9.94
221,0.01,0.00,0.01,0.21,0.11,9.97
226,0.01,0.00,0.01,0.22,0.10,9.96
231,0.01,0.00,0.01,0.19,0.12,9.93
236,0.01,0.00,0.01,0.23,0.09,9.95
241,0.01,0.00,0.01,0.21,0.09,9.95
246,0.01,0.00,0.01,0.22,0.09,9.93
251,0.01,0.00,0.01,0.24,0.08,9.92
256,0.01,0.00,0.00,0.20,0.09,9.91
261,0.01,0.00,0.01,0.26,0.08,9.95
267,0.01,0.00,0.01,0.24,0.05,9.92
272,0.01,0.00,0.01,0.22,0.07,9.89
277,0.01,0.00,0.01,0.25,0.05,9.90
282,0.01,0.00,0.01,0.23,0.05,9.93
287,0.01,0.00,0.01,0.25,0.06,9.91
292,0.01,0.00,0.01,0.24,0.03,9.88
297,0.01,0.00,0.01,0.20,0.07,9.90
302,0.01,0.00,0.01,0.25,0.06,9.94
307,0.01,0.00,0.01,0.21,0.05,9.91
312,0.01,0.00,0.01,0.20,0.07,9.89
317,0.01,0.00,0.01,0.22,0.05,9.90
322,0.01,0.00,0.01,0.18,0.09,9.93
327,0.01,0.00,0.01,0.21,0.06,9.92
332,0.01,0.00,0.00,0.17,0.06,9.91
337,0.01,0.00,0.00,0.18,0.10,9.91
342,0.01,0.00,0.00,0.20,0.07,9.94
347,0.01,0.00,0.00,0.14,0.08,9.91
352,0.01,0.00,0.00,0.20,0.08,9.91
357,0.01,0.00,0.00,0.19,0.08,9.92
362,0.01,0.00,0.00,0.17,0.10,9.94
367,0.01,0.00,0.00,0.21,0.08,9.93
372,0.01,0.00,0.00,0.18,0.09,9.91
377,0.01,0.00,0.00,0.21,0.08,9.91
383,0.01,0.00,0.00,0.22,0.05,9.93
388,0.01,0.00,0.00,0.19,0.08,9.91
393,0.01,0.00,0.00,0.23,0.05,9.90
398,0.01,0.00,0.00,0.18,0.06,9.91
403,0.01,0.00,0.00,0.19,0.08,9.92
408,0.01,0.00,0.00,0.20,0.04,9.91
413,0.01,0.00,0.00,0.17,0.08,9.89
418,0.01,0.00,0.00,0.19,0.06,9.91
423,0.01,0.00,0.00,0.17,0.07,9.93
428,0.01,0.00,0.00,0.16,0.09,9.92
433,0.01,0.00,0.00,0.17,0.07,9.90
438,0.01,0.00,0.00,0.14,0.08,9.90
443,0.01,0.00,0.00,0.17,0.09,9.94
448,0.01,0.00,0.00,0.16,0.08,9.92
453,0.01,0.00,0.00,0.14,0.11,9.91
458,0.01,0.00,0.00,0.17,0.07,9.91
463,0.01,0.00,0.00,0.13,0.07,9.91
468,0.01,0.00,0.00,0.16,0.09,9.93
473,0.01,0.00,0.00,0.18,0.04,9.90
478,0.01,0.00,0.00,0.14,0.08,9.90
483,0.01,0.00,0.00,0.18,0.05,9.91
488,0.01,0.00,0.00,0.18,0.04,9.90
494,0.01,0.00,0.00,0.17,0.06,9.90
499,0.01,0.00,0.00,0.22,0.02,9.88
504,0.01,0.00,0.00,0.17,0.06,9.89
509,0.01,0.00,0.00,0.22,0.04,9.90
514,0.02,0.00,0.00,0.22,0.04,9.89
519,0.02,0.00,0.00,0.21,0.08,9.90
524,0.01,0.00,0.00,0.25,0.05,9.90
529,0.02,0.00,0.00,0.20,0.08,9.90
534,0.02,0.00,0.00,0.24,0.08,9.92
539,0.02,0.00,0.00,0.26,0.06,9.91
544,0.02,0.00,0.00,0.22,0.10,9.92
549,0.02,0.00,0.00,0.28,0.07,9.93
554,0.02,0.00,0.00,0.24,0.09,9.93
559,0.02,0.00,0.00,0.26,0.11,9.93
564,0.02,0.00,0.00,0.29,0.09,9.92
569,0.02,0.00,0.00,0.25,0.12,9.95
574,0.01,0.00,0.00,0.29,0.10,9.95
579,0.01,0.00,0.00,0.28,0.09,9.91
584,0.01,0.00,0.00,0.28,0.12,9.91
589,0.01,0.00,0.00,0.32,0.08,9.93
594,0.01,0.00,0.00,0.27,0.13,9.94
